
Total error % ,Precision ,Recall,F
3 features 1 hidden layer 150 cells,15.440289505428225,0.8633155080213903,0.8181633894182039,0.8401332223147376
Features,Total error % ,Precision ,Recall,F
3 features 3 hidden layers 50 cells,21.43144350623241,0.7789285002987453,0.7928238394486113,0.7858147478400644
Features,Total error % ,Precision ,Recall,F
2 features 2 hidden layers 50 cells,15.289505428226779,0.8683074265975821,0.8153253598216096,0.8409827496079456
4 features,15.450341777241658,0.8626655275523281,0.8187715386174742,0.840145605824233
Classifier Name,Accuracy,TPR_Recall,PPV_Precision ,F1,FPR,FNR,TNR,NPV,FDR,TP,TN,FP,FN
Complete model,0.849,0.823,0.873,0.847,0.12,0.177,0.876,0.827,0.127,2776,2855,405,596
Classifier Name,Accuracy,TPR_Recall,PPV_Precision ,F1,FPR,FNR,TNR,NPV,FDR,TP,TN,FP,FN
try,0.85,0.823,0.875,0.848,0.117,0.177,0.879,0.827,0.125,2774,2864,396,598
Classifier Name,Accuracy,TPR_Recall,PPV_Precision ,F1,FPR,FNR,TNR,NPV,FDR,TP,TN,FP,FN
Model performances,0.849,0.824,0.873,0.848,0.12,0.176,0.876,0.828,0.127,2777,2856,404,595
Classifier Name,Accuracy,TPR_Recall,PPV_Precision ,F1,FPR,FNR,TNR,NPV,FDR,TP,TN,FP,FN
1000 epochs,0.856,0.834,0.877,0.855,0.117,0.166,0.879,0.837,0.123,2813,2864,396,559
Classifier Name,Accuracy,TPR_Recall,PPV_Precision ,F1,FPR,FNR,TNR,NPV,FDR,TP,TN,FP,FN
lr 0.01,0.791,0.742,0.83,0.783,0.152,0.258,0.843,0.759,0.17,2501,2748,512,871
Classifier Name,Accuracy,TPR_Recall,PPV_Precision ,F1,FPR,FNR,TNR,NPV,FDR,TP,TN,FP,FN
lr 0.1,0.801,0.827,0.792,0.809,0.218,0.173,0.775,0.812,0.208,2787,2526,734,585
Classifier Name,Accuracy,TPR_Recall,PPV_Precision ,F1,FPR,FNR,TNR,NPV,FDR,TP,TN,FP,FN
lr 3,0.509,1.0,0.509,0.674,0.966,0.0,0.0,1.0,0.491,3372,1,3259,0
Classifier Name,Accuracy,TPR_Recall,PPV_Precision ,F1,FPR,FNR,TNR,NPV,FDR,TP,TN,FP,FN
lr 1.1,0.854,0.831,0.876,0.853,0.118,0.169,0.878,0.834,0.124,2802,2863,397,570
Classifier Name,Accuracy,TPR_Recall,PPV_Precision ,F1,FPR,FNR,TNR,NPV,FDR,TP,TN,FP,FN
lr 1 epoch 200,0.854,0.83,0.877,0.853,0.117,0.17,0.879,0.833,0.123,2799,2867,393,573
Classifier Name,Accuracy,TPR_Recall,PPV_Precision ,F1,FPR,FNR,TNR,NPV,FDR,TP,TN,FP,FN
200 epochs,0.854,0.83,0.877,0.853,0.117,0.17,0.879,0.833,0.123,2798,2866,394,574
